Username;Game;In-game-time;Date
1stNoki;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 38s 350ms (in-game time) (435th place);19m 38s 350ms ();2021-05-01
1stNoki;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 09s 450ms (in-game time) (- place);23m 09s 450ms ();2021-04-03
1stNoki;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 45s 100ms (in-game time) (- place);25m 45s 100ms ();2021-03-30
1stNoki;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 25s 650ms (in-game time) (- place);27m 25s 650ms ();2021-03-24
21mustard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 46s 600ms (in-game time) (106th place);15m 46s 600ms ();2021-02-25
21mustard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 14s 666ms (in-game time) (- place);22m 14s 666ms ();2021-02-01
21mustard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 59s 250ms (in-game time) (- place);18m 59s 250ms ();2021-01-29
21mustard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 24m 08s 600ms (in-game time) (- place);24m 08s 600ms ();2020-12-10
21mustard;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 27m 37s 450ms (in-game time) (- place);27m 37s 450ms ();2020-10-26
672JengaBlocks;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 18m 16s (in-game time) (302nd place);18m 16s ();2021-05-15
672JengaBlocks;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 20m 18s 300ms (in-game time) (- place);20m 18s 300ms ();2020-12-29
672JengaBlocks;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 28m 08s 450ms (in-game time) (- place);28m 08s 450ms ();2020-11-25
7Pixels;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 47s 750ms (in-game time) (348th place);18m 47s 750ms ();2021-02-28
7Pixels;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 23m 28s 100ms (in-game time) (- place);23m 28s 100ms ();2021-01-13
7rowl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 13m 44s 550ms (in-game time) (26th place);13m 44s 550ms ();2021-04-16
7rowl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 04s 617ms (in-game time) (- place);17m 04s 617ms ();2021-02-03
7rowl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 06s 600ms (in-game time) (- place);24m 06s 600ms ();2020-12-22
aaronjac69;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 05s 200ms (in-game time) (72nd place);15m 05s 200ms ();2021-04-29
aaronjac69;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 31s 050ms (in-game time) (- place);19m 31s 050ms ();2021-03-14
aaronjac69;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 08s 200ms (in-game time) (- place);24m 08s 200ms ();2021-01-17
acclaimedTV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 42s 950ms (in-game time) (163rd place);16m 42s 950ms ();2021-05-02
acclaimedTV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 42s (in-game time) (- place);18m 42s ();2021-04-17
