Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date,Unnamed: 9,Unnamed: 10,Unnamed: 11,userlink
1st,TheeSizzler,11m 20s 233ms,11m 07s,11m 07s (in-game time),1.16.1,Normal,F3,CaffeineMC,6 days ago,,,https://www.speedrun.com/user/TheeSizzler
2nd,fe666,12m 37s 483ms,11m 50s 967ms,11m 50s 967ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 week ago,,,https://www.speedrun.com/user/fe666
3rd,TwoLetterName,12m 15s 783ms,12m 09s 817ms,12m 09s 817ms (in-game time),1.16.1,Normal,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/TwoLetterName
4th,ninjabrain1,14m 05s 430ms,13m 41s 300ms,13m 41s 300ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/ninjabrain1
5th,TheBlazer97,14m 11s 883ms,13m 43s 250ms,13m 43s 250ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/TheBlazer97
6th,Illumina,13m 58s,13m 53s,13m 53s (in-game time),1.16.1,Normal,No F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Illumina
7th,reignex,14m 20s,14m 07s,14m 07s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/reignex
7th,zylenox,14m 20s,14m 07s,14m 07s (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/zylenox
9th,Feinberg,14m 17s 983ms,14m 10s 033ms,14m 10s 033ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Feinberg
10th,Dav1E,14m 33s 317ms,14m 16s 716ms,14m 16s 716ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Dav1E
11th,MinecrAvenger,14m 28s,14m 20s 800ms,14m 20s 800ms (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/MinecrAvenger
12th,mikeyboytv,14m 51s 360ms,14m 26s 597ms,14m 26s 597ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/mikeyboytv
13th,Couriway,14m 39s 520ms,14m 36s 500ms,14m 36s 500ms (in-game time),1.16.1,Normal,F3,CaffeineMC,4 months ago,,,https://www.speedrun.com/user/Couriway
14th,Dylqn,15m 01s 400ms,14m 39s 234ms,14m 39s 234ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Dylqn
15th,Korbanoes,15m 12s 970ms,14m 56s 800ms,14m 56s 800ms (in-game time),1.16.1,Normal,F3,Vanilla,5 months ago,,,https://www.speedrun.com/user/Korbanoes
16th,g4v1ng72,15m 24s,15m 12s 384ms,15m 12s 384ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/g4v1ng72
17th,JebFromGameHouse,15m 17s 817ms,15m 14s 383ms,15m 14s 383ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/JebFromGameHouse
18th,Hamazon,15m 31s 760ms,15m 16s 150ms,15m 16s 150ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/Hamazon
19th,Maljack,15m 39s 094ms,15m 18s 267ms,15m 18s 267ms (in-game time),1.16.1,Easy,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/Maljack
20th,Cube1337x,15m 29s 580ms,15m 18s 350ms,15m 18s 350ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 weeks ago,,,https://www.speedrun.com/user/Cube1337x
21st,NiceTwice,15m 37s,15m 29s,15m 29s (in-game time),1.16.1,Normal,F3,CaffeineMC,2 months ago,,,https://www.speedrun.com/user/NiceTwice
22nd,CredAhead,15m 40s 560ms,15m 31s 233ms,15m 31s 233ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/CredAhead
23rd,Dowsky,15m 51s 040ms,15m 44s 100ms,15m 44s 100ms (in-game time),1.16.1,Easy,F3,CaffeineMC,3 months ago,,,https://www.speedrun.com/user/Dowsky
24th,21mustard,15m 56s 300ms,15m 46s 600ms,15m 46s 600ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/21mustard
25th,AutomattPL,16m 24s,15m 57s,15m 57s (in-game time),1.16.1,Normal,F3,CaffeineMC,1 month ago,,,https://www.speedrun.com/user/AutomattPL
26th,Scar,16m 45s 350ms,16m 04s 050ms,16m 04s 050ms (in-game time),1.16.1,Easy,F3,CaffeineMC,2 weeks ago,,,https://www.speedrun.com/user/Scar
27th,nieuh,16m 21s 800ms,16m 05s 167ms,16m 05s 167ms (in-game time),1.16.1,Easy,F3,CaffeineMC,4 weeks ago,,,https://www.speedrun.com/user/nieuh
