Player,Real time,In-game time,Difficulty,F3,Mods,Date,userlink
Brentilda,11m 09s 667ms,9m 36s 933ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/Brentilda
TheeSizzler,11m 20s 233ms,11m 07s,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/TheeSizzler
Couriway,11m 40s 567ms,11m 15s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Couriway
fe666,12m 37s 483ms,11m 50s 967ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/fe666
k4yfour,12m 20s 230ms,11m 58s 450ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/k4yfour
TwoLetterName,12m 15s 783ms,12m 09s 817ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/TwoLetterName
Illumina,12m 14s 500ms,12m 10s 383ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Illumina
suravil,12m 42s 267ms,12m 19s 583ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/suravil
Hoffik,13m 12s 933ms,12m 35s 067ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Hoffik
reignex,12m 55s 217ms,12m 36s 033ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/reignex
MalonMusk,13m 15s 167ms,12m 38s 133ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/MalonMusk
Dylqn,13m 14s 310ms,12m 43s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Dylqn
ToXicFl0w,13m 18s 000ms,12m 59s 000ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ToXicFl0w
ninjabrain1,14m 00s 617ms,13m 06s 767ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ninjabrain1
Ravalle,13m 35s 067ms,13m 12s 267ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Ravalle
mmuffe,13m 52s 050ms,13m 19s 025ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/mmuffe
blackmagic556,13m 43s 533ms,13m 27s 367ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/blackmagic556
Umido,13m 56s 790ms,13m 28s 250ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/Umido
Hamazon,13m 46s 167ms,13m 37s 083ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Hamazon
Cube1337x,13m 51s 567ms,13m 38s 367ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Cube1337x
zylenox,13m 39s,13m 39s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/zylenox
Dowsky,14m 15s 067ms,13m 41s 467ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Dowsky
plr,14m 05s 080ms,13m 42s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/plr
TheTalkingMime,14m 03s 700ms,13m 42s 950ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TheTalkingMime
TheBlazer97,14m 11s 883ms,13m 43s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/TheBlazer97
7rowl,14m 04s 860ms,13m 44s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/7rowl
realbenex,14m 04s 667ms,13m 47s 367ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/realbenex
Feinberg,14m 13s 100ms,13m 48s 800ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Feinberg
MultiPorl,14m 04s 663ms,13m 53s 300ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/MultiPorl
Bubbawid,14m 12s,13m 54s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Bubbawid
SNooFL,14m 05s 190ms,13m 56s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/SNooFL
Ontricus,14m 01s 867ms,13m 58s 067ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Ontricus
NiceTwice,14m 13s 650ms,13m 59s 167ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/NiceTwice
petr1234,14m 43s 217ms,14m 00s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/petr1234
MiGor,14m 58s 700ms,14m 00s 317ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/MiGor
Rayzor,14m 32s 067ms,14m 01s 233ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Rayzor
EleventyBillion,14m 13s 233ms,14m 01s 467ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/EleventyBillion
giyo_,14m 29s 467ms,14m 07s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/giyo_
Silentmotorboat,14m 42s 167ms,14m 07s 833ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Silentmotorboat
CredAhead,14m 22s 640ms,14m 09s 350ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/CredAhead
DECTHEELITE,14m 32s 317ms,14m 10s 450ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/DECTHEELITE
Ancoboy,15m 55s 567ms,14m 15s 933ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Ancoboy
Crookst,14m 37s 200ms,14m 16s 167ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Crookst
Dav1E,14m 33s 317ms,14m 16s 717ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Dav1E
RmaGod,15m 08s 014ms,14m 16s 800ms,1.16.1,Hardcore,F3,CaffeineMC,https://www.speedrun.com/user/RmaGod
DougThePig,14m 20s,14m 17s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/DougThePig
santa12,15m 00s 300ms,14m 20s 033ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/santa12
AndrewCrow,14m 43s 867ms,14m 20s 500ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/AndrewCrow
MinecrAvenger,14m 28s,14m 20s 800ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/MinecrAvenger
SamDao,14m 47s 633ms,14m 25s 417ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/SamDao
mikeyboytv,14m 51s 367ms,14m 26s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/mikeyboytv
nieuh,14m 51s 167ms,14m 29s 650ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/nieuh
Jakers_42,15m 01s 950ms,14m 30s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Jakers_42
Acilith,14m 38s 717ms,14m 31s 917ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Acilith
ripfc,14m 48s 660ms,14m 32s 900ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ripfc
Decavex,15m 10s 590ms,14m 36s 350ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Decavex
Tenori,14m 53s 933ms,14m 40s 767ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Tenori
Spropl,14m 47s 960ms,14m 42s 350ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Spropl
Kajodenn,14m 50s 660ms,14m 43s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Kajodenn
botmet,15m 00s 072ms,14m 46s 450ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/botmet
emia,15m 10s 279ms,14m 46s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/emia
qam022,15m 04s 480ms,14m 49s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/qam022
Danger1451,14m 58s 550ms,14m 50s 200ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Danger1451
simbala,15m 02s 367ms,14m 51s 867ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/simbala
Firework,14m 59s 750ms,14m 52s 400ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Firework
Horsey,15m 40s 330ms,14m 52s 700ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Horsey
iluappi,15m 07s 340ms,14m 53s 300ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/iluappi
Fyroah,15m 14s 833ms,14m 54s 933ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Fyroah
Fulham,17m 42s 420ms,14m 56s 450ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Fulham
Korbanoes,15m 12s 970ms,14m 56s 800ms,1.16.1,Normal,F3,Vanilla,https://www.speedrun.com/user/Korbanoes
KeyBoardAbuser,15m 22s 950ms,14m 59s 900ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/KeyBoardAbuser
aaronjac69,15m 36s 750ms,15m 05s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/aaronjac69
AutomattPL,15m 31s 430ms,15m 06s 300ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/AutomattPL
Tookann,15m 33s 033ms,15m 07s 633ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Tookann
Dimeax,15m 24s,15m 07s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Dimeax
jdizll,15m 12s 700ms,15m 08s 367ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/jdizll
MashedPotatoes21,16m 00s 150ms,15m 12s 350ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/MashedPotatoes21
g4v1ng72,15m 24s,15m 12s 383ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/g4v1ng72
Semperzz,15m 35s 980ms,15m 13s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Semperzz
JebFromGameHouse,15m 17s 817ms,15m 14s 383ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/JebFromGameHouse
Toph033,15m 17s 180ms,15m 14s 950ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Toph033
NoFear1337,15m 52s 290ms,15m 16s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/NoFear1337
Maljack,15m 39s 094ms,15m 18s 267ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Maljack
Vpig,15m 27s,15m 19s 500ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Vpig
retropog,16m 13s,15m 20s 150ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/retropog
klydezzz,16m 16s 001ms,15m 22s 900ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/klydezzz
Silverr,16m 01s 167ms,15m 23s 233ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Silverr
Haama,15m 27s 540ms,15m 26s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Haama
Markieboy257,16m 10s 210ms,15m 27s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Markieboy257
zTheSwordMan,17m 10s 150ms,15m 28s 500ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/zTheSwordMan
EvanKay,15m 51s 400ms,15m 29s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/EvanKay
LaRuim,16m 17s 310ms,15m 29s 800ms,1.16.1,Easy,F3,Vanilla,https://www.speedrun.com/user/LaRuim
nEmerald,15m 54s 680ms,15m 31s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/nEmerald
jojoe77777,16m 20s 567ms,15m 32s 367ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/jojoe77777
Comprex,15m 50s 183ms,15m 33s 988ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Comprex
LowkeyTM,15m 57s 890ms,15m 35s 400ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/LowkeyTM
FooN_,15m 54s 500ms,15m 35s 650ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/FooN_
skipiano,15m 47s 086ms,15m 36s 300ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/skipiano
Thannus,15m 54s 330ms,15m 37s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Thannus
Oxidiot,16m 06s 950ms,15m 38s 750ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Oxidiot
Stevie7,16m 43s 530ms,15m 42s 750ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Stevie7
Granat,15m 52s 500ms,15m 42s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Granat
tomaron13,15m 54s 350ms,15m 43s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/tomaron13
PeteZahHutt,15m 47s 100ms,15m 44s 150ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/PeteZahHutt
CroProYT,16m 23s 080ms,15m 45s 700ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/CroProYT
21mustard,15m 56s 300ms,15m 46s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/21mustard
Redstqne,15m 59s,15m 47s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Redstqne
Only_,16m 02s 250ms,15m 47s 750ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Only_
Funderful_TV,15m 55s 470ms,15m 48s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Funderful_TV
hary0tt,16m 11s 840ms,15m 50s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/hary0tt
Parts,16m 10s 310ms,15m 51s 150ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Parts
knau,16m 31s 380ms,15m 51s 350ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/knau
natemeister,16m 15s 780ms,15m 54s 200ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/natemeister
Degasaur,16m 01s 520ms,15m 54s 250ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Degasaur
Prowo,16m 03s 300ms,15m 57s 550ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Prowo
Thananiel_,16m 22s 770ms,15m 58s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Thananiel_
nebrula,16m 00s 910ms,15m 58s 850ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/nebrula
MoleyG,16m 29s 790ms,15m 59s 400ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/MoleyG
ItzToxic,16m 20s 920ms,15m 59s 500ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/ItzToxic
AdamVonBadam,16m 53s 060ms,16m 00s 800ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/AdamVonBadam
triple6kono,16m 20s 040ms,16m 01s 900ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/triple6kono
SpectroPlayer,16m 17s 117ms,16m 02s 067ms,1.16,Easy,F3,CaffeineMC,https://www.speedrun.com/user/SpectroPlayer
Scar,16m 45s 350ms,16m 04s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Scar
BooleanC5,17m 19s,16m 04s 600ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/BooleanC5
Uprush,16m 18s 450ms,16m 04s 700ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Uprush
Ax3roth,16m 58s 160ms,16m 05s 400ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Ax3roth
lackingtoast,16m 28s 530ms,16m 09s,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/lackingtoast
catJAM19,16m 31s 820ms,16m 10s,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/catJAM19
xCashew,16m 16s 340ms,16m 10s 100ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/xCashew
jamieee,16m 51s 310ms,16m 11s 900ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/jamieee
alanispro,16m 20s 900ms,16m 12s 900ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/alanispro
koen,16m 28s 970ms,16m 13s 500ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/koen
Plyers8,16m 16s 929ms,16m 14s 852ms,1.16.1,Normal,F3,CaffeineMC,https://www.speedrun.com/user/Plyers8
Jay12310,16m 23s 240ms,16m 15s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Jay12310
Mauvu,16m 31s 600ms,16m 15s 950ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Mauvu
Hasbi,16m 57s 700ms,16m 16s 050ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/Hasbi
KEYL000,17m 16s 680ms,16m 16s 650ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/KEYL000
thehunterhack,17m 03s 220ms,16m 17s 950ms,1.16.1,Easy,F3,CaffeineMC,https://www.speedrun.com/user/thehunterhack
