Players,Real time,In-game time,Sub Version,Difficulty,F3,Mods,Date,Player
FeinbergFeinberg,5m 42s 117ms,5m 40s 250ms,1.16,1.16.1,Easy,F3,2021-05-19,Feinberg
nieuhnieuh,6m 48s 267ms,6m 36s 067ms,1.16,1.16.1,Easy,F3,2021-05-18,nieuh
kieleckielec,6m 49s 433ms,6m 44s 600ms,1.16,1.16.1,Easy,F3,2021-05-16,kielec
natemeisternatemeister,6m 53s 667ms,6m 46s 217ms,1.16,1.16.1,Easy,F3,2021-05-23,natemeister
SpecnrSpecnr,7m 05s 467ms,6m 57s 367ms,1.16,1.16.1,Easy,F3,2021-05-12,Specnr
knauknau,7m 11s 350ms,7m 07s 683ms,1.16,1.16.1,Easy,F3,2021-05-20,knau
Colin_HenryColin_Henry,7m 25s 900ms,7m 14s 450ms,1.16,1.16.1,Easy,F3,2021-05-17,Colin_Henry
nEmeraldnEmerald,7m 32s 800ms,7m 23s 767ms,1.16,1.16.1,Normal,F3,2021-04-03,nEmerald
SproplSpropl,7m 34s 300ms,7m 30s 633ms,1.16,1.16.1,Easy,F3,2021-05-24,Spropl
Danger1451Danger1451,7m 51s 233ms,7m 48s 133ms,1.16,1.16.1,Normal,F3,2021-05-16,Danger1451
AcilithAcilith,7m 57s 183ms,7m 55s 317ms,1.16,1.16.1,Easy,F3,2021-04-18,Acilith
ChezzyNachosChezzyNachos,8m 00s 167ms,7m 58s 367ms,1.16,1.16.1,Easy,F3,2021-05-15,ChezzyNachos
TomegxxTomegxx,8m 18s 330ms,8m 01s 550ms,1.16,1.16.1,Easy,F3,2021-05-17,Tomegxx
Markieboy257Markieboy257,8m 10s 517ms,8m 08s 500ms,1.16,1.16.1,Easy,F3,2021-05-12,Markieboy257
KrereyKrerey,10m 09s 898ms,8m 17s 400ms,1.16,1.16.1,Easy,F3,2021-05-15,Krerey
NitroBSNitroBS,8m 25s 650ms,8m 23s 100ms,1.16,1.16.1,Easy,F3,2021-05-18,NitroBS
tssaltssal,8m 43s 406ms,8m 23s 850ms,1.16,1.16.1,Easy,F3,2021-05-25,tssal
ethwitethwit,8m 27s 433ms,8m 26s 067ms,1.16,1.16.1,Easy,F3,2021-05-21,ethwit
KEYL000KEYL000,8m 47s 900ms,8m 26s 350ms,1.0,1.16.1,Easy,F3,2021-05-15,KEYL000
acembuacembu,8m 28s 610ms,8m 26s 500ms,1.16,1.16.1,Easy,F3,2021-05-16,acembu
TobiasTheManTobiasTheMan,8m 30s 200ms,8m 27s 283ms,1.16,1.16.1,Easy,F3,2021-04-10,TobiasTheMan
LicenceplateLicenceplate,8m 39s 900ms,8m 36s 733ms,1.16,1.16.1,Easy,F3,2021-04-10,Licenceplate
3sv43sv4,8m 40s,8m 38s 100ms,1.16,1.16.1,Easy,F3,2021-05-23,3sv4
CroProYTCroProYT,8m 43s 420ms,8m 40s 050ms,1.16,1.16.1,Normal,F3,2021-04-11,CroProYT
TheMonst3RPGTheMonst3RPG,8m 45s 167ms,8m 43s 133ms,1.16,1.16.1,Easy,F3,2021-05-13,TheMonst3RPG
EdTheSurvivorEdTheSurvivor,8m 56s 600ms,8m 49s 533ms,1.16,1.16.1,Easy,F3,2021-05-18,EdTheSurvivor
tiinsytiinsy,8m 58s 680ms,8m 52s 050ms,1.16,1.16.1,Easy,F3,2021-05-25,tiinsy
kk,8m 57s 867ms,8m 53s 867ms,1.16,1.16.1,Easy,F3,2021-05-28,k
MaxiM974MaxiM974,9m 11s 783ms,8m 56s 133ms,1.16,1.16.1,Easy,F3,2021-05-15,MaxiM974
TheeSizzlerTheeSizzler,9m 02s 710ms,8m 59s 233ms,1.16,1.16.1,Easy,F3,2021-03-15,TheeSizzler
noodlemanhoursnoodlemanhours,9m 01s 300ms,8m 59s 500ms,1.16,1.16.1,Easy,F3,2021-05-06,noodlemanhours
jamieeejamieee,9m 00s 867ms,8m 59s 600ms,1.16,1.16.1,Easy,F3,2021-04-01,jamieee
Kha0xKha0x,9m 02s 467ms,8m 59s 600ms,1.16,1.16.1,Easy,F3,2021-05-13,Kha0x
aymericpierre29aymericpierre29,9m 06s 620ms,8m 59s 650ms,1.16,1.16.1,Easy,F3,2021-05-17,aymericpierre29
MelonademanMelonademan,9m 06s 660ms,9m 01s 600ms,1.16,1.16.1,Easy,F3,2021-05-19,Melonademan
Ax3rothAx3roth,9m 16s 450ms,9m 03s 450ms,1.16,1.16.1,Easy,F3,2021-05-21,Ax3roth
edgymanedgyman,9m 12s 404ms,9m 05s 400ms,1.16,1.16.1,Easy,F3,2021-05-25,edgyman
DesktopFolderDesktopFolder,9m 11s 833ms,9m 08s 767ms,1.16,1.16.1,Easy,F3,2021-05-15,DesktopFolder
LextigLextig,9m 11s 767ms,9m 09s 733ms,1.16,1.16.1,Normal,F3,2021-05-18,Lextig
SunOmegaSunOmega,9m 16s 500ms,9m 13s 367ms,1.16,1.16.1,Easy,F3,2021-05-18,SunOmega
MashedPotatoes21MashedPotatoes21,9m 20s 300ms,9m 15s 800ms,1.16,1.16.1,Easy,F3,2021-05-04,MashedPotatoes21
BoscarvidiosBoscarvidios,9m 16s 470ms,9m 16s 300ms,1.16,1.16.1,Easy,F3,2021-05-25,Boscarvidios
NBALVARONBALVARO,9m 19s 200ms,9m 17s 733ms,1.16,1.16.1,Easy,F3,2021-04-18,NBALVARO
QdzQdz,9m 19s 059ms,9m 19s 045ms,1.16,1.16.1,Normal,F3,2021-05-23,Qdz
LowkeyTMLowkeyTM,9m 24s 667ms,9m 22s 767ms,1.16,1.16.1,Normal,F3,2021-05-08,LowkeyTM
