;Username;Game;In-game-time;Date
1;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 59s 850ms (in-game time) (182nd place);16m 59s 850ms ();2021-06-05
2;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 27s 800ms (in-game time) (- place);17m 27s 800ms ();2021-05-16
3;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 48s 050ms (in-game time) (- place);18m 48s 050ms ();2021-04-04
4;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 15s 650ms (in-game time) (- place);20m 15s 650ms ();2021-03-27
5;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 33s 100ms (in-game time) (- place);21m 33s 100ms ();2021-03-26
6;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 46s 050ms (in-game time) (- place);22m 46s 050ms ();2021-03-02
8;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 52s 750ms (in-game time) (- place);26m 52s 750ms ();2021-02-08
9;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 32m 09s 200ms (in-game time) (- place);32m 09s 200ms ();2021-02-06
10;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 32m 24s 240ms (in-game time) (- place);32m 24s 240ms ();2021-01-27
11;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 38m 07s 008ms (in-game time) (- place);38m 07s 008ms ();2021-01-16
12;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 45m 13s (in-game time) (- place);45m 13s ();2021-01-05
13;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 56m 55s 042ms (in-game time) (- place);56m 55s 042ms ();2020-12-15
14;Chetoos23;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 1h 17m 38s 091ms (in-game time) (- place);1h 17m 38s 091ms ();2020-11-30
