;Username;Game;In-game-time;Date
0;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 11m 15s 100ms (in-game time) (3rd place);11m 15s 100ms ();2021-05-11
2;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 16m 11s 850ms (in-game time) (- place);16m 11s 850ms ();2021-02-28
5;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 14m 36s 500ms (in-game time) (- place);14m 36s 500ms ();2020-11-03
7;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 58s 650ms (in-game time) (- place);17m 58s 650ms ();2020-10-14
10;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 19m 28s 250ms (in-game time) (- place);19m 28s 250ms ();2020-09-28
11;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 21m 36s 900ms (in-game time) (- place);21m 36s 900ms ();2020-09-25
12;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 43s 900ms (in-game time) (- place);22m 43s 900ms ();2020-09-16
13;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 23m 08s 300ms (in-game time) (- place);23m 08s 300ms ();2020-09-14
14;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, F3, CaffeineMC)						 24m 35s 500ms (in-game time) (- place);24m 35s 500ms ();2020-09-04
15;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 25m 57s 250ms (in-game time) (- place);25m 57s 250ms ();2020-09-03
16;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 26m 57s 200ms (in-game time) (- place);26m 57s 200ms ();2020-08-25
17;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 28m 41s 250ms (in-game time) (- place);28m 41s 250ms ();2020-08-24
18;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 32m 47s (in-game time) (- place);32m 47s ();2020-08-16
19;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 34m 38s 280ms (in-game time) (- place);34m 38s 280ms ();2020-08-09
20;Couriway;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 42m 27s 050ms (in-game time) (- place);42m 27s 050ms ();2020-08-01
