;Username;Game;In-game-time;Date
1;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 13m 38s 367ms (in-game time) (20th place);13m 38s 367ms ();2021-05-16
9;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 18s 350ms (in-game time) (- place);15m 18s 350ms ();2021-03-04
12;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 15m 25s 500ms (in-game time) (- place);15m 25s 500ms ();2021-02-27
13;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 15m 43s 199ms (in-game time) (- place);15m 43s 199ms ();2021-02-07
14;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 16m 49s 400ms (in-game time) (- place);16m 49s 400ms ();2021-01-03
15;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 18m 16s (in-game time) (- place);18m 16s ();2021-01-02
16;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 19m 19s 350ms (in-game time) (- place);19m 19s 350ms ();2020-12-16
17;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 20m 24s 250ms (in-game time) (- place);20m 24s 250ms ();2020-11-09
18;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 36s 400ms (in-game time) (- place);24m 36s 400ms ();2020-11-07
19;Cube1337x;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 27m 12s 150ms (in-game time) (- place);27m 12s 150ms ();2020-10-27
