;Username;Game;In-game-time;Date
0;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 14m 50s 200ms (in-game time) (63rd place);14m 50s 200ms ();2021-05-27
1;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 15m 32s 000ms (in-game time) (- place);15m 32s 000ms ();2021-05-24
2;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 15m 53s 250ms (in-game time) (- place);15m 53s 250ms ();2021-05-11
3;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 16m 04s 400ms (in-game time) (- place);16m 04s 400ms ();2021-05-02
4;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 16m 48s 950ms (in-game time) (- place);16m 48s 950ms ();2021-04-26
6;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 28s 650ms (in-game time) (- place);17m 28s 650ms ();2021-03-25
7;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 18m 14s 050ms (in-game time) (- place);18m 14s 050ms ();2021-03-23
8;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 18m 45s 750ms (in-game time) (- place);18m 45s 750ms ();2021-02-06
9;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 21m 09s 150ms (in-game time) (- place);21m 09s 150ms ();2020-12-24
13;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, No F3, Vanilla)						 22m 55s 032ms (in-game time) (- place);22m 55s 032ms ();2020-11-07
14;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, No F3, Vanilla)						 22m 55s 032ms (in-game time) (- place);22m 55s 032ms ();2020-11-03
16;Danger1451;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 32m 10s 090ms (in-game time) (- place);32m 10s 090ms ();2020-09-29
