;Username;Game;In-game-time;Date
0;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 14m 16s 717ms (in-game time) (44th place);14m 16s 717ms ();2021-02-19
1;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 13s 150ms (in-game time) (- place);17m 13s 150ms ();2021-01-25
2;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 38s 020ms (in-game time) (- place);17m 38s 020ms ();2020-12-20
3;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 38s 020ms (in-game time) (- place);17m 38s 020ms ();2020-12-19
4;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 23s 015ms (in-game time) (- place);19m 23s 015ms ();2020-12-17
5;Dav1E;Any% Glitchless - Random Seed, 1.16+							(Easy, F3, CaffeineMC)						 20m 05s 080ms (in-game time) (- place);20m 05s 080ms ();2020-12-15
8;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 21m 01s 300ms (in-game time) (- place);21m 01s 300ms ();2020-09-19
9;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 21m 07s 750ms (in-game time) (- place);21m 07s 750ms ();2020-08-27
10;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 23m 01s (in-game time) (- place);23m 01s ();2020-08-20
11;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 28m 57s 037ms (in-game time) (- place);28m 57s 037ms ();2020-08-17
12;Dav1E;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 34m 12s 220ms (in-game time) (- place);34m 12s 220ms ();2020-08-02
13;Dav1E;HHH Any% Glitchless - Random Seed, 1.16+							(Hardcore, 1.16.1, F3, Fabric)						 57m 08s 075ms (in-game time) (5th place);57m 08s 075ms ();2020-12-28
