;Username;Game;In-game-time;Date
12;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 17s (in-game time) (46th place);14m 17s ();2021-05-31
14;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 43s 100ms (in-game time) (- place);15m 43s 100ms ();2021-04-15
16;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 09s 850ms (in-game time) (- place);16m 09s 850ms ();2021-04-12
20;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 16m 36s 350ms (in-game time) (- place);16m 36s 350ms ();2021-03-23
26;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 40s 500ms (in-game time) (- place);18m 40s 500ms ();2021-01-15
28;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 14s 650ms (in-game time) (- place);22m 14s 650ms ();2021-01-13
30;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 18s 150ms (in-game time) (- place);23m 18s 150ms ();2021-01-06
31;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 24m 14s 150ms (in-game time) (- place);24m 14s 150ms ();2020-12-21
33;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 25m 25s 050ms (in-game time) (- place);25m 25s 050ms ();2020-12-13
41;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 35m 39s 700ms (in-game time) (- place);35m 39s 700ms ();2020-09-19
43;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Optifine)						 44m 59s (in-game time) (- place);44m 59s ();2020-08-12
44;DougThePig;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Optifine)						 50m 46s 002ms (in-game time) (- place);50m 46s 002ms ();2020-08-10
