;Username;Game;In-game-time;Date
2;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 13m 48s 800ms (in-game time) (28th place);13m 48s 800ms ();2021-06-07
7;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 10s 033ms (in-game time) (- place);14m 10s 033ms ();2021-02-28
9;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 45s (in-game time) (- place);14m 45s ();2021-02-22
14;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 16m 31s 700ms (in-game time) (- place);16m 31s 700ms ();2021-02-03
23;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 31s 950ms (in-game time) (- place);17m 31s 950ms ();2020-10-29
24;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 32s 950ms (in-game time) (- place);20m 32s 950ms ();2020-10-28
25;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 55s 550ms (in-game time) (- place);20m 55s 550ms ();2020-10-21
26;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 42s 550ms (in-game time) (- place);22m 42s 550ms ();2020-10-20
27;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 52s 400ms (in-game time) (- place);24m 52s 400ms ();2020-10-10
28;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 41s 300ms (in-game time) (- place);25m 41s 300ms ();2020-10-05
29;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 30m 56s 350ms (in-game time) (- place);30m 56s 350ms ();2020-10-04
30;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 34m 34s 650ms (in-game time) (- place);34m 34s 650ms ();2020-10-02
31;Feinberg;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 37m 02s 600ms (in-game time) (- place);37m 02s 600ms ();2020-10-01
