;Username;Game;In-game-time;Date
5;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 48s 100ms (in-game time) (109th place);15m 48s 100ms ();2021-04-08
9;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 40s 850ms (in-game time) (- place);16m 40s 850ms ();2021-02-05
10;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 05s 536ms (in-game time) (- place);17m 05s 536ms ();2021-01-11
14;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 19m 21s 750ms (in-game time) (- place);19m 21s 750ms ();2020-11-14
15;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 19m 43s 300ms (in-game time) (- place);19m 43s 300ms ();2020-10-19
16;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 21m 05s 800ms (in-game time) (- place);21m 05s 800ms ();2020-08-30
17;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 22m 25s (in-game time) (- place);22m 25s ();2020-08-26
18;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 23m 20s (in-game time) (- place);23m 20s ();2020-08-18
19;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 26m 31s (in-game time) (- place);26m 31s ();2020-07-29
20;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 33m 21s 500ms (in-game time) (- place);33m 21s 500ms ();2020-07-13
21;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 36m 09s (in-game time) (- place);36m 09s ();2020-07-09
22;Funderful_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, Vanilla)						 1h 08m 25s 350ms (in-game time) (- place);1h 08m 25s 350ms ();2020-07-06
87;Funderful_TV;HHH Any% Glitchless - Random Seed, 1.16+							(Hardcore, 1.16.1, F3, Vanilla)						 1h 06m 15s (in-game time) (6th place);1h 06m 15s ();2020-12-28
