;Username;Game;In-game-time;Date
1;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 12m 35s 067ms (in-game time) (9th place);12m 35s 067ms ();2021-05-13
2;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 51s 800ms (in-game time) (- place);14m 51s 800ms ();2021-04-30
3;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 57s 633ms (in-game time) (- place);14m 57s 633ms ();2021-04-20
4;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 16m 50s 700ms (in-game time) (- place);16m 50s 700ms ();2021-03-05
7;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 17m 35s 033ms (in-game time) (- place);17m 35s 033ms ();2021-02-08
8;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 19m 41s 000ms (in-game time) (- place);19m 41s 000ms ();2021-01-26
9;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 21m 16s 250ms (in-game time) (- place);21m 16s 250ms ();2021-01-06
10;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 09s 700ms (in-game time) (- place);22m 09s 700ms ();2020-12-19
11;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 35s 150ms (in-game time) (- place);22m 35s 150ms ();2020-12-16
12;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 25m 42s 200ms (in-game time) (- place);25m 42s 200ms ();2020-12-03
13;Hoffik;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 35m 27s (in-game time) (- place);35m 27s ();2020-11-13
