;Username;Game;In-game-time;Date
0;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 00s 317ms (in-game time) (35th place);14m 00s 317ms ();2021-05-14
1;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 54s 800ms (in-game time) (- place);14m 54s 800ms ();2021-05-10
2;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 59s 250ms (in-game time) (- place);16m 59s 250ms ();2021-04-13
3;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 09s 250ms (in-game time) (- place);18m 09s 250ms ();2021-03-29
4;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 33s 850ms (in-game time) (- place);18m 33s 850ms ();2021-03-22
5;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 09s 200ms (in-game time) (- place);19m 09s 200ms ();2021-02-20
6;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 31s 850ms (in-game time) (- place);20m 31s 850ms ();2021-02-16
7;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 31s 000ms (in-game time) (- place);23m 31s 000ms ();2021-02-02
8;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 41s 150ms (in-game time) (- place);23m 41s 150ms ();2021-01-21
9;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 25m 56s 470ms (in-game time) (- place);25m 56s 470ms ();2020-12-29
10;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 28m 03s (in-game time) (- place);28m 03s ();2020-12-26
11;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 30m 58s 200ms (in-game time) (- place);30m 58s 200ms ();2020-12-23
12;MiGor;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 36m 01s (in-game time) (- place);36m 01s ();2020-12-16
