;Username;Game;In-game-time;Date
0;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 45s 800ms (in-game time) (168th place);16m 45s 800ms ();2021-05-05
1;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 15s 850ms (in-game time) (- place);18m 15s 850ms ();2021-04-26
2;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 53s 750ms (in-game time) (- place);19m 53s 750ms ();2021-03-31
4;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 18s 650ms (in-game time) (- place);20m 18s 650ms ();2021-03-09
6;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 36s 050ms (in-game time) (- place);22m 36s 050ms ();2021-01-18
7;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 45s 250ms (in-game time) (- place);25m 45s 250ms ();2020-12-29
8;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 35s 100ms (in-game time) (- place);27m 35s 100ms ();2020-12-23
9;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 30m 03s 700ms (in-game time) (- place);30m 03s 700ms ();2020-12-19
10;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 36m 06s (in-game time) (- place);36m 06s ();2020-12-17
11;NamelyNici;Any% Glitchless - Random Seed, 1.16+							(1.6.1, Easy, F3, Vanilla)						 40m 09s 600ms (in-game time) (- place);40m 09s 600ms ();2020-11-15
