;Username;Game;In-game-time;Date
0;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 47s 750ms (in-game time) (108th place);15m 47s 750ms ();2021-05-27
1;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 26s (in-game time) (- place);17m 26s ();2021-05-20
2;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 38s (in-game time) (- place);17m 38s ();2021-05-16
3;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 31s (in-game time) (- place);18m 31s ();2021-05-04
4;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 17s 250ms (in-game time) (- place);20m 17s 250ms ();2021-04-20
5;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 07s 055ms (in-game time) (- place);23m 07s 055ms ();2021-03-10
6;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 19s 040ms (in-game time) (- place);24m 19s 040ms ();2021-03-04
7;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 30m 07s 900ms (in-game time) (- place);30m 07s 900ms ();2021-02-27
8;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 35m 04s 550ms (in-game time) (- place);35m 04s 550ms ();2021-02-23
9;Only_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 37m 11s (in-game time) (- place);37m 11s ();2021-02-06
