;Username;Game;In-game-time;Date
15;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 42s 350ms (in-game time) (58th place);14m 42s 350ms ();2021-05-29
17;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 15s 350ms (in-game time) (- place);15m 15s 350ms ();2021-05-23
19;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 32s 700ms (in-game time) (- place);15m 32s 700ms ();2021-05-21
27;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 15s 030ms (in-game time) (- place);16m 15s 030ms ();2021-02-26
29;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 33s 350ms (in-game time) (- place);17m 33s 350ms ();2021-02-18
31;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 10s 450ms (in-game time) (- place);18m 10s 450ms ();2021-02-05
36;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 18s 800ms (in-game time) (- place);18m 18s 800ms ();2021-01-18
39;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 42s 500ms (in-game time) (- place);19m 42s 500ms ();2021-01-01
41;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 39s 850ms (in-game time) (- place);22m 39s 850ms ();2020-11-18
45;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 26m 01s 550ms (in-game time) (- place);26m 01s 550ms ();2020-09-09
46;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 29m 55s 090ms (in-game time) (- place);29m 55s 090ms ();2020-08-29
50;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 34m 49s (in-game time) (- place);34m 49s ();2020-08-11
52;Spropl;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 34m 54s (in-game time) (- place);34m 54s ();2020-07-20
