;Username;Game;In-game-time;Date
1;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 38s (in-game time) (161st place);16m 38s ();2021-03-18
2;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 17s 100ms (in-game time) (- place);19m 17s 100ms ();2021-02-07
3;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 16s 650ms (in-game time) (- place);21m 16s 650ms ();2021-01-10
4;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 28s 100ms (in-game time) (- place);25m 28s 100ms ();2021-01-01
5;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 54s 450ms (in-game time) (- place);25m 54s 450ms ();2020-12-30
6;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 04s 900ms (in-game time) (- place);27m 04s 900ms ();2020-12-18
7;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 32m 44s 550ms (in-game time) (- place);32m 44s 550ms ();2020-12-15
8;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 37m 09s 650ms (in-game time) (- place);37m 09s 650ms ();2020-12-14
9;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 38m 52s 800ms (in-game time) (- place);38m 52s 800ms ();2020-12-08
10;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 43m 18s (in-game time) (- place);43m 18s ();2020-12-07
11;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 48m 14s 030ms (in-game time) (- place);48m 14s 030ms ();2020-12-06
12;Strick_Nine_TV;Any% Glitchless - Random Seed, 1.16+							(1.16, Normal, F3, CaffeineMC)						 49m 07s 098ms (in-game time) (- place);49m 07s 098ms ();2020-12-02
