;Username;Game;In-game-time;Date
3;Thananiel_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 58s (in-game time) (116th place);15m 58s ();2021-05-30
4;Thananiel_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 36s 700ms (in-game time) (- place);17m 36s 700ms ();2021-04-16
5;Thananiel_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 41s 900ms (in-game time) (- place);17m 41s 900ms ();2021-04-13
6;Thananiel_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 51s 450ms (in-game time) (- place);17m 51s 450ms ();2021-04-04
7;Thananiel_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 04s 250ms (in-game time) (- place);18m 04s 250ms ();2021-04-01
8;Thananiel_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 10s 500ms (in-game time) (- place);20m 10s 500ms ();2021-03-05
9;Thananiel_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 40s 200ms (in-game time) (- place);23m 40s 200ms ();2021-02-24
10;Thananiel_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 26s 200ms (in-game time) (- place);27m 26s 200ms ();2021-02-12
11;Thananiel_;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 35m 45s 005ms (in-game time) (- place);35m 45s 005ms ();2021-01-31
12;Thananiel_;Cooperative Any% Glitchless - Random Seed, 1.16.100+							(1.16.221, Easy)							with antonibonantonibon, Lambo1234567888Lambo1234567888  26m 52s (4th place);26m 52s;2021-05-13
13;Thananiel_;Cooperative Any% Glitchless - Random Seed, 1.16.100+							(1.16.210, Easy)							with antonibonantonibon, Lambo1234567888Lambo1234567888  31m 41s (- place);31m 41s;2021-04-04
14;Thananiel_;Cooperative Any% Glitchless - Random Seed, 1.16.100+							(1.16.210, Easy)							with antonibonantonibon, Lambo1234567888Lambo1234567888  41m 19s (- place);41m 19s;2021-03-28
