;Username;Game;In-game-time;Date
2;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 11s 950ms (in-game time) (389th place);19m 11s 950ms ();2021-04-15
3;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 33s 800ms (in-game time) (- place);21m 33s 800ms ();2021-04-07
4;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 22m 41s 350ms (in-game time) (- place);22m 41s 350ms ();2021-03-29
5;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 22m 58s 550ms (in-game time) (- place);22m 58s 550ms ();2021-03-21
6;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 25m 27s 300ms (in-game time) (- place);25m 27s 300ms ();2021-03-13
7;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 27m 42s 650ms (in-game time) (- place);27m 42s 650ms ();2021-03-10
8;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 28m 38s 500ms (in-game time) (- place);28m 38s 500ms ();2021-03-04
9;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 32m 40s 650ms (in-game time) (- place);32m 40s 650ms ();2021-02-27
10;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 35m 24s 200ms (in-game time) (- place);35m 24s 200ms ();2021-02-13
11;VDPineapple;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 42m 56s (in-game time) (- place);42m 56s ();2020-08-22
