;Username;Game;In-game-time;Date
1;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 51s 700ms (in-game time) (353rd place);18m 51s 700ms ();2021-06-19
2;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 13s 900ms (in-game time) (- place);22m 13s 900ms ();2021-06-15
3;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 37s 050ms (in-game time) (- place);22m 37s 050ms ();2021-06-14
4;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 38s 650ms (in-game time) (- place);23m 38s 650ms ();2021-05-01
5;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 01s 500ms (in-game time) (- place);24m 01s 500ms ();2021-04-25
6;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 42s 750ms (in-game time) (- place);26m 42s 750ms ();2021-04-18
7;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 22s 750ms (in-game time) (- place);27m 22s 750ms ();2021-04-02
8;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 30m 41s 700ms (in-game time) (- place);30m 41s 700ms ();2021-03-13
9;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 36m 53s 065ms (in-game time) (- place);36m 53s 065ms ();2021-03-03
10;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 50m 40s (in-game time) (- place);50m 40s ();2021-01-27
13;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 56m 07s 020ms (in-game time) (- place);56m 07s 020ms ();2021-01-19
14;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 1h 00m 02s 015ms (in-game time) (- place);1h 00m 02s 015ms ();2021-01-19
16;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 1h 04m 13s 200ms (in-game time) (- place);1h 04m 13s 200ms ();2021-01-09
17;WarySkyPlayer;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 1h 25m 14s 500ms (in-game time) (- place);1h 25m 14s 500ms ();2021-01-07
