;Username;Game;In-game-time;Date
62;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 19m 09s 045ms (in-game time) (382nd place);19m 09s 045ms ();2021-01-18
63;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 19m 15s 150ms (in-game time) (- place);19m 15s 150ms ();2020-12-26
64;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 20m 45s 450ms (in-game time) (- place);20m 45s 450ms ();2020-12-25
67;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 22m 38s 640ms (in-game time) (- place);22m 38s 640ms ();2020-11-11
77;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 24m 16s 600ms (in-game time) (- place);24m 16s 600ms ();2020-08-18
78;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 25m 45s 550ms (in-game time) (- place);25m 45s 550ms ();2020-08-10
79;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 31m 00s 650ms (in-game time) (- place);31m 00s 650ms ();2020-07-30
80;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 36m 17s 350ms (in-game time) (- place);36m 17s 350ms ();2020-07-25
81;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, CaffeineMC)						 37m 41s 450ms (in-game time) (- place);37m 41s 450ms ();2020-07-23
82;Zarratix;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Hardcore, F3, Optifine)						 39m 16s 900ms (in-game time) (- place);39m 16s 900ms ();2020-07-19
85;Zarratix;HHH Any% Glitchless - Random Seed, 1.16+							(Hardcore, 1.16.1, F3, Fabric)						 56m 58s (in-game time) (4th place);56m 58s ();2020-12-29
