;Username;Game;In-game-time;Date
1;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 11m 58s 450ms (in-game time) (5th place);11m 58s 450ms ();2021-05-27
3;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 14m 51s 850ms (in-game time) (- place);14m 51s 850ms ();2021-03-27
6;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 46s 850ms (in-game time) (- place);15m 46s 850ms ();2021-03-13
8;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 42s 850ms (in-game time) (- place);16m 42s 850ms ();2021-02-24
11;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 40s 250ms (in-game time) (- place);18m 40s 250ms ();2020-12-24
18;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 39s 750ms (in-game time) (- place);20m 39s 750ms ();2020-09-26
19;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 04s 600ms (in-game time) (- place);23m 04s 600ms ();2020-09-13
20;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 22s 150ms (in-game time) (- place);25m 22s 150ms ();2020-09-05
21;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 30m 24s 600ms (in-game time) (- place);30m 24s 600ms ();2020-08-21
22;k4yfour;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 33m 59s 150ms (in-game time) (- place);33m 59s 150ms ();2020-08-09
