;Username;Game;In-game-time;Date
13;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 20s 150ms (in-game time) (85th place);15m 20s 150ms ();2021-05-22
16;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 20s 850ms (in-game time) (- place);17m 20s 850ms ();2021-05-16
18;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 17m 31s 150ms (in-game time) (- place);17m 31s 150ms ();2021-05-09
19;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 27s 150ms (in-game time) (- place);19m 27s 150ms ();2021-05-02
20;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 16s 950ms (in-game time) (- place);20m 16s 950ms ();2021-04-24
21;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 22s 200ms (in-game time) (- place);20m 22s 200ms ();2021-04-10
24;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 34s (in-game time) (- place);22m 34s ();2021-03-03
27;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 51s 180ms (in-game time) (- place);23m 51s 180ms ();2020-11-17
28;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 41m 46s 360ms (in-game time) (- place);41m 46s 360ms ();2020-10-31
30;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 43m 45s 720ms (in-game time) (- place);43m 45s 720ms ();2020-09-13
31;retropog;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 1h 08m 06s 400ms (in-game time) (- place);1h 08m 06s 400ms ();2020-08-23
