;Username;Game;In-game-time;Date
38;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 00s 200ms (in-game time) (281st place);18m 00s 200ms ();2021-04-03
39;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 52s 250ms (in-game time) (- place);19m 52s 250ms ();2021-02-20
40;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 49s 800ms (in-game time) (- place);21m 49s 800ms ();2021-02-20
41;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 57s 350ms (in-game time) (- place);21m 57s 350ms ();2021-02-09
42;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 28s 020ms (in-game time) (- place);24m 28s 020ms ();2021-02-08
43;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 11s 150ms (in-game time) (- place);27m 11s 150ms ();2021-02-02
44;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 27m 51s 150ms (in-game time) (- place);27m 51s 150ms ();2021-01-27
45;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 28m 00s 150ms (in-game time) (- place);28m 00s 150ms ();2021-01-19
46;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 32m 29s 450ms (in-game time) (- place);32m 29s 450ms ();2020-11-10
47;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 35m 53s (in-game time) (- place);35m 53s ();2020-11-08
48;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.6.1, Easy, F3, Vanilla)						 42m 56s 450ms (in-game time) (- place);42m 56s 450ms ();2020-11-05
49;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 43m 56s 300ms (in-game time) (- place);43m 56s 300ms ();2020-11-01
50;speedycube64;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 47m 49s 300ms (in-game time) (- place);47m 49s 300ms ();2020-10-29
