;Username;Game;In-game-time;Date
0;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 01s 900ms (in-game time) (121st place);16m 01s 900ms ();2021-04-10
1;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 17m 48s 500ms (in-game time) (- place);17m 48s 500ms ();2021-03-30
2;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 53s 450ms (in-game time) (- place);18m 53s 450ms ();2021-03-23
3;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 20m 02s 650ms (in-game time) (- place);20m 02s 650ms ();2021-03-13
4;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 20m 40s 650ms (in-game time) (- place);20m 40s 650ms ();2021-02-28
5;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Normal, F3, CaffeineMC)						 22m 03s 200ms (in-game time) (- place);22m 03s 200ms ();2021-02-16
6;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 23m 07s 400ms (in-game time) (- place);23m 07s 400ms ();2021-02-13
7;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 11s (in-game time) (- place);24m 11s ();2021-01-24
8;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 02s 500ms (in-game time) (- place);26m 02s 500ms ();2021-01-21
9;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 52s 620ms (in-game time) (- place);26m 52s 620ms ();2021-01-19
10;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 28m 58s 250ms (in-game time) (- place);28m 58s 250ms ();2020-12-28
11;triple6kono;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 31m 24s 180ms (in-game time) (- place);31m 24s 180ms ();2020-12-16
