;Username;Game;In-game-time;Date
11;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 32s 333ms (in-game time) (422nd place);19m 32s 333ms ();2021-05-26
12;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 21m 19s 650ms (in-game time) (- place);21m 19s 650ms ();2021-05-10
13;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 35s 850ms (in-game time) (- place);22m 35s 850ms ();2021-04-29
15;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 43s 700ms (in-game time) (- place);22m 43s 700ms ();2021-04-17
17;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 29m 53s 100ms (in-game time) (- place);29m 53s 100ms ();2021-03-15
18;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 29m 56s 130ms (in-game time) (- place);29m 56s 130ms ();2021-03-13
19;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 30m 24s 550ms (in-game time) (- place);30m 24s 550ms ();2021-02-18
20;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 32m 13s 900ms (in-game time) (- place);32m 13s 900ms ();2021-02-07
21;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 33m 34s 950ms (in-game time) (- place);33m 34s 950ms ();2021-01-19
22;tssal;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 35m 20s 850ms (in-game time) (- place);35m 20s 850ms ();2021-01-03
